default,name,form,type1,type2,ability1,ability2,abilityh,base stat total,hp,attack,defense,special attack,special defense,speed,group1,group2,catch_rate,egg_cycles,base_happiness,category,percentage_male,exp_group,height_m,weight_kg,pokedex,item_common,item_uncommon,item_rare,exp_yield
,Ariados,,Bug,Poison,Swarm,Insomnia,Sniper,390,70,90,70,60,60,40,,,90,15,70,Long Leg,0.5,Fast,1.1,33.5,,,,,137
,Crobat,,Poison,Flying,Inner Focus,Inner Focus,Infiltrator,535,85,90,80,70,80,130,,,90,15,70,Bat,0.5,Medium,1.8,75.0,,,,,241
,Chinchou,,Water,Electric,Volt Absorb,Illuminate,Water Absorb,330,75,38,38,56,56,67,,,190,20,70,Angler,0.5,Slow,0.5,12.0,,,,,66
,Lanturn,,Water,Electric,Volt Absorb,Illuminate,Water Absorb,460,125,58,58,76,76,67,,,75,20,70,Light,0.5,Slow,1.2,22.5,,,,,161
,Pichu,,Electric,,Static,Static,Lightning Rod,205,20,40,15,35,35,60,,,190,10,70,Tiny Mouse,0.5,Medium,0.3,2.0,,,,,41
,Cleffa,,Fairy,,Cute Charm,Magic Guard,Friend Guard,218,50,25,28,45,55,15,,,150,10,140,Star Shape,0.25,Fast,0.3,3.0,,,,,44
,Igglybuff,,Normal,Fairy,Cute Charm,Cute Charm,Friend Guard,210,90,30,15,40,20,15,,,170,10,70,Balloon,0.25,Fast,0.3,1.0,,,,,42
,Togepi,,Fairy,,Hustle,Serene Grace,Super Luck,245,35,20,65,40,65,20,,,190,10,70,Spike Ball,0.875,Fast,0.3,1.5,,,,,49
,Togetic,,Fairy,Flying,Hustle,Serene Grace,Super Luck,405,55,40,85,80,105,40,,,75,10,70,Happiness,0.875,Fast,0.6,3.2,,,,,142
,Natu,,Psychic,Flying,Synchronize,Early Bird,Magic Bounce,320,40,50,45,70,45,70,,,190,20,70,Tiny Bird,0.5,Medium,0.2,2.0,,,,,64
,Xatu,,Psychic,Flying,Synchronize,Early Bird,Magic Bounce,470,65,75,70,95,70,95,,,75,20,70,Mystic,0.5,Medium,1.5,15.0,,,,,165
,Mareep,,Electric,,Static,Static,Plus,280,55,40,40,65,45,35,,,235,20,70,Wool,0.5,Parabolic,0.6,7.8,,,,,56
,Flaaffy,,Electric,,Static,Static,Plus,365,70,55,55,80,60,45,,,120,20,70,Wool,0.5,Parabolic,0.8,13.3,,,,,128
,Ampharos,,Electric,,Static,Static,Plus,510,90,75,85,115,90,55,,,45,20,70,Light,0.5,Parabolic,1.4,61.5,,,,,225
,Bellossom,,Grass,,Chlorophyll,Chlorophyll,Healer,490,75,80,95,90,100,50,,,45,20,70,Flower,0.5,Parabolic,0.4,5.8,,,,,216
,Marill,,Water,Fairy,Thick Fat,Huge Power,Sap Sipper,250,70,20,50,20,50,40,,,190,10,70,Aqua Mouse,0.5,Fast,0.4,8.5,,,,,88
,Azumarill,,Water,Fairy,Thick Fat,Huge Power,Sap Sipper,420,100,50,80,60,80,50,,,75,10,70,Aqua Rabbit,0.5,Fast,0.8,28.5,,,,,185
,Sudowoodo,,Rock,,Sturdy,Rock Head,Rattled,410,70,100,115,30,65,30,,,65,20,70,Imitation,0.5,Medium,1.2,38.0,,,,,144
,Politoed,,Water,,Water Absorb,Damp,Drizzle,500,90,75,75,90,100,70,,,45,20,70,Frog,0.5,Parabolic,1.1,33.9,,,,,225
,Hoppip,,Grass,Flying,Chlorophyll,Leaf Guard,Infiltrator,250,35,35,40,35,55,50,,,255,20,70,Cottonweed,0.5,Parabolic,0.4,0.5,,,,,50
,Skiploom,,Grass,Flying,Chlorophyll,Leaf Guard,Infiltrator,340,55,45,50,45,65,80,,,120,20,70,Cottonweed,0.5,Parabolic,0.6,1.0,,,,,119
,Jumpluff,,Grass,Flying,Chlorophyll,Leaf Guard,Infiltrator,460,75,55,70,55,95,110,,,45,20,70,Cottonweed,0.5,Parabolic,0.8,3.0,,,,,203
,Aipom,,Normal,,Run Away,Pickup,Skill Link,360,55,70,55,40,55,85,,,45,20,70,Long Tail,0.5,Fast,0.8,11.5,,,,,72
,Sunkern,,Grass,,Chlorophyll,Solar Power,Early Bird,180,30,30,30,30,30,30,,,235,20,70,Seed,0.5,Parabolic,0.3,1.8,,,,,36
,Sunflora,,Grass,,Chlorophyll,Solar Power,Early Bird,425,75,75,55,105,85,30,,,120,20,70,Sun,0.5,Parabolic,0.8,8.5,,,,,149
,Yanma,,Bug,Flying,Speed Boost,Compound Eyes,Frisk,390,65,65,45,75,45,95,,,75,20,70,Clear Wing,0.5,Medium,1.2,38.0,,,,,78
,Wooper,,Water,Ground,Damp,Water Absorb,Unaware,210,55,45,45,25,25,15,,,255,20,70,Water Fish,0.5,Medium,0.4,8.5,,,,,42
,Quagsire,,Water,Ground,Damp,Water Absorb,Unaware,430,95,85,85,65,65,35,,,90,20,70,Water Fish,0.5,Medium,1.4,75.0,,,,,151
,Espeon,,Psychic,,Synchronize,Synchronize,Magic Bounce,525,65,65,60,130,95,110,,,45,35,70,Sun,0.875,Medium,0.9,26.5,,,,,184
,Umbreon,,Dark,,Synchronize,Synchronize,Inner Focus,525,95,65,110,60,130,65,,,45,35,35,Moonlight,0.875,Medium,1.0,27.0,,,,,184
,Murkrow,,Dark,Flying,Insomnia,Super Luck,Prankster,405,60,85,42,85,42,91,,,30,20,35,Darkness,0.5,Parabolic,0.5,2.1,,,,,81
,Slowking,,Water,Psychic,Oblivious,Own Tempo,Regenerator,490,95,75,80,100,110,30,,,70,20,70,Royal,0.5,Medium,2.0,79.5,,,,,172
,Misdreavus,,Ghost,,Levitate,Levitate,Levitate,435,60,60,60,85,85,85,,,45,25,35,Screech,0.5,Fast,0.7,1.0,,,,,87
,Unown,,Psychic,,Levitate,Levitate,Levitate,336,48,72,48,72,48,48,,,225,40,70,Symbol,None,Medium,0.5,5.0,,,,,118
,Wobbuffet,,Psychic,,Shadow Tag,Shadow Tag,Telepathy,405,190,33,58,33,58,33,,,45,20,70,Patient,0.5,Medium,1.3,28.5,,,,,142
,Girafarig,,Normal,Psychic,Inner Focus,Early Bird,Sap Sipper,455,70,80,65,90,65,85,,,60,20,70,Long Neck,0.5,Medium,1.5,41.5,,,,,159
,Pineco,,Bug,,Sturdy,Sturdy,Overcoat,290,50,65,90,35,35,15,,,190,20,70,Bagworm,0.5,Medium,0.6,7.2,,,,,58
,Forretress,,Bug,Steel,Sturdy,Sturdy,Overcoat,465,75,90,140,60,60,40,,,75,20,70,Bagworm,0.5,Medium,1.2,125.8,,,,,163
,Dunsparce,,Normal,,Serene Grace,Run Away,Rattled,415,100,70,70,65,65,45,,,190,20,70,Land Snake,0.5,Medium,1.5,14.0,,,,,145
,Gligar,,Ground,Flying,Hyper Cutter,Sand Veil,Immunity,430,65,75,105,35,65,85,,,60,20,70,FlyScorpion,0.5,Parabolic,1.1,64.8,,,,,86
,Steelix,,Steel,Ground,Rock Head,Sturdy,Sheer Force,510,75,85,200,55,65,30,,,25,25,70,Iron Snake,0.5,Medium,9.2,400.0,,,,,179
,Snubbull,,Fairy,,Intimidate,Run Away,Rattled,290,60,70,50,40,40,30,,,190,20,70,Fairy,0.25,Fast,0.6,7.8,,,,,60
,Granbull,,Fairy,,Intimidate,Quick Feet,Rattled,450,90,120,75,60,60,45,,,75,20,70,Fairy,0.25,Fast,1.4,48.7,,,,,158
,Qwilfish,,Water,Poison,Poison Point,Swift Swim,Intimidate,430,65,95,75,55,55,85,,,45,20,70,Balloon,0.5,Medium,0.5,3.9,,,,,86
,Scizor,,Bug,Steel,Swarm,Technician,Light Metal,500,70,130,100,55,80,65,,,25,25,70,Pincer,0.5,Medium,1.8,118.0,,,,,175
,Shuckle,,Bug,Rock,Sturdy,Gluttony,Contrary,505,20,10,230,10,230,5,,,190,20,70,Mold,0.5,Parabolic,0.6,20.5,,,,,177
,Heracross,,Bug,Fighting,Swarm,Guts,Moxie,500,80,125,75,40,95,85,,,45,25,70,Single Horn,0.5,Slow,1.5,54.0,,,,,175
,Sneasel,,Dark,Ice,Inner Focus,Keen Eye,Pickpocket,430,55,95,55,35,75,115,,,60,20,35,Sharp Claw,0.5,Parabolic,0.9,28.0,,,,,86
,Teddiursa,,Normal,,Pickup,Quick Feet,Honey Gather,330,60,80,50,50,50,40,,,120,20,70,Little Bear,0.5,Medium,0.6,8.8,,,,,66
,Ursaring,,Normal,,Guts,Quick Feet,Unnerve,500,90,130,75,75,75,55,,,60,20,70,Hibernator,0.5,Medium,1.8,125.8,,,,,175
,Slugma,,Fire,,Magma Armor,Flame Body,Weak Armor,250,40,40,40,70,40,20,,,190,20,70,Lava,0.5,Medium,0.7,35.0,,,,,50
,Magcargo,,Fire,Rock,Magma Armor,Flame Body,Weak Armor,410,50,50,120,80,80,30,,,75,20,70,Lava,0.5,Medium,0.8,55.0,,,,,144
,Swinub,,Ice,Ground,Oblivious,Snow Cloak,Thick Fat,250,50,50,40,30,30,50,,,225,20,70,Pig,0.5,Slow,0.4,6.5,,,,,50
,Piloswine,,Ice,Ground,Oblivious,Snow Cloak,Thick Fat,450,100,100,80,60,60,50,,,75,20,70,Swine,0.5,Slow,1.1,55.8,,,,,158
,Corsola,,Water,Rock,Hustle,Natural Cure,Regenerator,380,55,55,85,65,85,35,,,60,20,70,Coral,0.25,Fast,0.6,5.0,,,,,133
,Remoraid,,Water,,Hustle,Sniper,Moody,300,35,65,35,65,35,65,,,190,20,70,Jet,0.5,Medium,0.6,12.0,,,,,60
,Octillery,,Water,,Suction Cups,Sniper,Moody,480,75,105,75,105,75,45,,,75,20,70,Jet,0.5,Medium,0.9,28.5,,,,,168
,Delibird,,Ice,Flying,Vital Spirit,Hustle,Winter Joy,330,45,55,45,65,45,75,,,45,20,70,Delivery,0.5,Fast,0.9,16.0,,,,,116
,Mantine,,Water,Flying,Swift Swim,Water Absorb,Water Veil,465,65,40,70,80,140,70,,,25,25,70,Kite,0.5,Slow,2.1,220.0,,,,,163
,Skarmory,,Steel,Flying,Keen Eye,Sturdy,Weak Armor,465,65,80,140,40,70,70,,,25,25,70,Armor Bird,0.5,Slow,1.7,50.5,,,,,163
,Houndour,,Dark,Fire,Early Bird,Flash Fire,Unnerve,330,45,60,30,80,50,65,,,120,20,35,Dark,0.5,Slow,0.6,10.8,,,,,66
,Houndoom,,Dark,Fire,Early Bird,Flash Fire,Unnerve,500,75,90,50,110,80,95,,,45,20,35,Dark,0.5,Slow,1.4,35.0,,,,,175
,Kingdra,,Water,Dragon,Swift Swim,Sniper,Damp,540,75,95,95,95,95,85,,,45,20,70,Dragon,0.5,Medium,1.8,152.0,,,,,243
,Phanpy,,Ground,,Pickup,Pickup,Sand Veil,330,90,60,60,40,40,40,,,120,20,70,Long Nose,0.5,Medium,0.5,33.5,,,,,66
,Donphan,,Ground,,Sturdy,Sturdy,Sand Veil,500,90,120,120,60,60,50,,,60,20,70,Armor,0.5,Medium,1.1,120.0,,,,,175
,Porygon2,,Normal,,Trace,Download,Analytic,515,85,80,90,105,95,60,,,45,20,70,Virtual,None,Medium,0.6,32.5,,,,,180
,Stantler,,Normal,,Intimidate,Frisk,Sap Sipper,465,73,95,62,85,65,85,,,45,20,70,Big Horn,0.5,Slow,1.4,71.2,,,,,163
,Smeargle,,Normal,,Own Tempo,Technician,Moody,250,55,20,35,20,45,75,,,45,20,70,Painter,0.5,Fast,1.2,58.0,,,,,88
,Tyrogue,,Fighting,,Guts,Steadfast,Vital Spirit,210,35,35,35,35,35,35,,,75,25,70,Scuffle,1,Medium,0.7,21.0,,,,,42
,Hitmontop,,Fighting,,Intimidate,Technician,Steadfast,455,50,95,95,35,110,70,,,45,25,70,Handstand,1,Medium,1.4,48.0,,,,,159
,Smoochum,,Ice,Psychic,Oblivious,Forewarn,Hydration,305,45,30,15,85,65,65,,,45,25,70,Kiss,0,Medium,0.4,6.0,,,,,61
,Elekid,,Electric,,Static,Static,Vital Spirit,360,45,63,37,65,55,95,,,45,25,70,Electric,0.75,Medium,0.6,23.5,,,,,72
,Magby,,Fire,,Flame Body,Flame Body,Vital Spirit,365,45,75,37,70,55,83,,,45,25,70,Live Coal,0.75,Medium,0.7,21.4,,,,,73
,Miltank,,Normal,,Thick Fat,Scrappy,Sap Sipper,490,95,80,105,40,70,100,,,45,20,70,Milk Cow,0,Slow,1.2,75.5,,,,,172
,Blissey,,Normal,,Natural Cure,Serene Grace,Healer,540,255,10,10,75,135,55,,,30,40,140,Happiness,0,Fast,1.5,46.8,,,,,96
,Raikou,,Electric,,Pressure,Pressure,Volt Absorb,580,90,85,75,115,100,115,,,3,80,35,Thunder,None,Slow,1.9,178.0,,,,,5
,Entei,,Fire,,Pressure,Pressure,Flash Fire,580,115,115,85,90,75,100,,,3,80,35,Volcano,None,Slow,2.1,198.0,,,,,5
,Suicune,,Water,,Pressure,Pressure,Water Absorb,580,100,75,115,90,115,85,,,3,80,35,Aurora,None,Slow,2.0,187.0,,,,,5
,Larvitar,,Rock,Ground,Guts,Guts,Sand Veil,300,50,64,50,45,50,41,,,45,40,35,Rock Skin,0.5,Slow,0.6,72.0,,,,,60
,Pupitar,,Rock,Ground,Shed Skin,Shed Skin,Shed Skin,410,70,84,70,65,70,51,,,45,40,35,Hard Shell,0.5,Slow,1.2,152.0,,,,,144
,Tyranitar,,Rock,Dark,Sand Stream,Sand Stream,Unnerve,600,100,134,110,95,100,61,,,45,40,35,Armor,0.5,Slow,2.0,202.0,,,,,14
,Lugia,,Psychic,Flying,Pressure,Pressure,Multiscale,680,106,90,130,90,154,110,,,3,120,0,Diving,None,Slow,5.2,216.0,,,,,50
,Ho-Oh,,Fire,Flying,Pressure,Pressure,Regenerator,680,106,130,90,110,154,90,,,3,120,0,Rainbow,None,Slow,3.8,199.0,,,,,50
,Celebi,,Psychic,Grass,Natural Cure,Natural Cure,Natural Cure,600,100,100,100,100,100,100,,,45,120,100,Time Travel,None,Parabolic,0.6,5.0,,,,,14
,Treecko,,Grass,,Overgrow,Overgrow,Unburden,310,40,45,35,65,55,70,,,45,20,70,Wood Gecko,0.875,Parabolic,0.5,5.0,,,,,62
,Grovyle,,Grass,,Overgrow,Overgrow,Unburden,405,50,65,45,85,65,95,,,45,20,70,Wood Gecko,0.875,Parabolic,0.9,21.6,,,,,142
,Sceptile,,Grass,,Overgrow,Overgrow,Unburden,530,70,85,65,105,85,120,,,45,20,70,Forest,0.875,Parabolic,1.7,52.2,,,,,239
,Torchic,,Fire,,Blaze,Blaze,Speed Boost,310,45,60,40,70,50,45,,,45,20,70,Chick,0.875,Parabolic,0.4,2.5,,,,,62
,Combusken,,Fire,Fighting,Blaze,Blaze,Speed Boost,405,60,85,60,85,60,55,,,45,20,70,Young Fowl,0.875,Parabolic,0.9,19.5,,,,,142
,Blaziken,,Fire,Fighting,Blaze,Blaze,Speed Boost,530,80,120,70,110,70,80,,,45,20,70,Blaze,0.875,Parabolic,1.9,52.0,,,,,239
,Mudkip,,Water,,Torrent,Torrent,Damp,310,50,70,50,50,50,40,,,45,20,70,Mud Fish,0.875,Parabolic,0.4,7.6,,,,,62
,Marshtomp,,Water,Ground,Torrent,Torrent,Damp,405,70,85,70,60,70,50,,,45,20,70,Mud Fish,0.875,Parabolic,0.7,28.0,,,,,142
,Swampert,,Water,Ground,Torrent,Torrent,Damp,535,100,110,90,85,90,60,,,45,20,70,Mud Fish,0.875,Parabolic,1.5,81.9,,,,,241
,Poochyena,,Dark,,Run Away,Quick Feet,Rattled,220,35,55,35,30,30,35,,,255,15,70,Bite,0.5,Medium,0.5,13.6,,,,,44
,Mightyena,,Dark,,Intimidate,Quick Feet,Moxie,420,70,90,70,60,60,70,,,127,15,70,Bite,0.5,Medium,1.0,37.0,,,,,147
,Zigzagoon,,Normal,,Pickup,Gluttony,Quick Feet,240,38,30,41,30,41,60,,,255,15,70,TinyRaccoon,0.5,Medium,0.4,17.5,,,,,48
,Linoone,,Normal,,Pickup,Gluttony,Quick Feet,420,78,70,61,50,61,100,,,90,15,70,Rushing,0.5,Medium,0.5,32.5,,,,,147
,Wurmple,,Bug,,Shield Dust,Shield Dust,Run Away,195,45,45,35,20,30,20,,,255,15,70,Worm,0.5,Medium,0.3,3.6,,,,,39
,Silcoon,,Bug,,Shed Skin,Shed Skin,Shed Skin,205,50,35,55,25,25,15,,,120,15,70,Cocoon,0.5,Medium,0.6,10.0,,,,,72
,Beautifly,,Bug,Flying,Swarm,Swarm,Rivalry,395,60,70,50,100,50,65,,,45,15,70,Butterfly,0.5,Medium,1.0,28.4,,,,,173
,Cascoon,,Bug,,Shed Skin,Shed Skin,Shed Skin,205,50,35,55,25,25,15,,,120,15,70,Cocoon,0.5,Medium,0.7,11.5,,,,,41
,Dustox,,Bug,Poison,Shield Dust,Shield Dust,Compound Eyes,385,60,50,70,50,90,65,,,45,15,70,Poison Moth,0.5,Medium,1.2,31.6,,,,,135
,Lotad,,Water,Grass,Swift Swim,Rain Dish,Own Tempo,220,40,30,30,40,50,30,,,255,15,70,Water Weed,0.5,Parabolic,0.5,2.6,,,,,44
,Lombre,,Water,Grass,Swift Swim,Rain Dish,Own Tempo,340,60,50,50,60,70,50,,,120,15,70,Jolly,0.5,Parabolic,1.2,32.5,,,,,119
,Ludicolo,,Water,Grass,Swift Swim,Rain Dish,Own Tempo,480,80,70,70,90,100,70,,,45,15,70,Carefree,0.5,Parabolic,1.5,55.0,,,,,216
,Seedot,,Grass,,Chlorophyll,Early Bird,Pickpocket,220,40,40,50,30,30,30,,,255,15,70,Acorn,0.5,Parabolic,0.5,4.0,,,,,44
,Nuzleaf,,Grass,Dark,Chlorophyll,Early Bird,Pickpocket,340,70,70,40,60,40,60,,,120,15,70,Wily,0.5,Parabolic,1.0,28.0,,,,,119
,Shiftry,,Grass,Dark,Chlorophyll,Early Bird,Pickpocket,480,90,100,60,90,60,80,,,45,15,70,Wicked,0.5,Parabolic,1.3,59.6,,,,,216
,Taillow,,Normal,Flying,Guts,Guts,Scrappy,270,40,55,30,30,30,85,,,200,15,70,TinySwallow,0.5,Parabolic,0.3,2.3,,,,,54
,Swellow,,Normal,Flying,Guts,Guts,Scrappy,430,60,85,60,50,50,125,,,45,15,70,Swallow,0.5,Parabolic,0.7,19.8,,,,,151
,Wingull,,Water,Flying,Keen Eye,Keen Eye,Rain Dish,270,40,30,30,55,30,85,,,190,20,70,Seagull,0.5,Medium,0.6,9.5,,,,,54
,Pelipper,,Water,Flying,Keen Eye,Keen Eye,Rain Dish,430,60,50,100,85,70,65,,,45,20,70,Water Bird,0.5,Medium,1.2,28.0,,,,,151
,Ralts,,Psychic,Fairy,Synchronize,Trace,Telepathy,198,28,25,25,45,35,40,,,235,20,35,Feeling,0.5,Slow,0.4,6.6,,,,,40
,Kirlia,,Psychic,Fairy,Synchronize,Trace,Telepathy,278,38,35,35,65,55,50,,,120,20,35,Emotion,0.5,Slow,0.8,20.2,,,,,97
,Gardevoir,,Psychic,Fairy,Synchronize,Trace,Telepathy,518,68,65,65,125,115,80,,,45,20,35,Embrace,0.5,Slow,1.6,48.4,,,,,233
,Surskit,,Bug,Water,Swift Swim,Swift Swim,Rain Dish,269,40,30,32,50,52,65,,,200,15,70,Pond Skater,0.5,Medium,0.5,1.7,,,,,54
,Masquerain,,Bug,Flying,Intimidate,Intimidate,Unnerve,414,70,60,62,80,82,60,,,75,15,70,Eyeball,0.5,Medium,0.8,3.6,,,,,145
,Shroomish,,Grass,,Effect Spore,Poison Heal,Quick Feet,295,60,40,60,40,60,35,,,255,15,70,Mushroom,0.5,Fluctuating,0.4,4.5,,,,,59
,Breloom,,Grass,Fighting,Effect Spore,Poison Heal,Technician,460,60,130,80,60,60,70,,,90,15,70,Mushroom,0.5,Fluctuating,1.2,39.2,,,,,161
,Slakoth,,Normal,,Truant,Truant,Truant,280,60,60,60,35,35,30,,,255,15,70,Slacker,0.5,Slow,0.8,24.0,,,,,56
,Vigoroth,,Normal,,Vital Spirit,Vital Spirit,Vital Spirit,440,80,80,80,55,55,90,,,120,15,70,Wild Monkey,0.5,Slow,1.4,46.5,,,,,154
,Slaking,,Normal,,Truant,Truant,Truant,670,150,160,100,95,65,100,,,45,15,70,Lazy,0.5,Slow,2.0,130.5,,,,,252
,Nincada,,Bug,Ground,Compound Eyes,Compound Eyes,Run Away,266,31,45,90,30,30,40,,,255,15,70,Trainee,0.5,Erratic,0.5,5.5,,,,,53
,Ninjask,,Bug,Flying,Speed Boost,Speed Boost,Infiltrator,456,61,90,45,50,50,160,,,120,15,70,Ninja,0.5,Erratic,0.8,12.0,,,,,160
,Shedinja,,Bug,Ghost,Wonder Guard,Wonder Guard,Wonder Guard,236,1,90,45,30,30,40,,,45,15,70,Shed,None,Erratic,0.8,1.2,,,,,83
,Whismur,,Normal,,Soundproof,Amplifier,Rattled,240,64,51,23,51,23,28,,,190,20,70,Whisper,0.5,Parabolic,0.6,16.3,,,,,48
,Loudred,,Normal,,Soundproof,Amplifier,Scrappy,360,84,71,43,71,43,48,,,120,20,70,Big Voice,0.5,Parabolic,1.0,40.5,,,,,126
,Exploud,,Normal,,Soundproof,Amplifier,Scrappy,490,104,91,63,91,73,68,,,45,20,70,Loud Noise,0.5,Parabolic,1.5,84.0,,,,,216
,Makuhita,,Fighting,,Thick Fat,Guts,Sheer Force,237,72,60,30,20,30,25,,,180,20,70,Guts,0.75,Fluctuating,1.0,86.4,,,,,47
,Hariyama,,Fighting,,Thick Fat,Guts,Sheer Force,474,144,120,60,40,60,50,,,200,20,70,Arm Thrust,0.75,Fluctuating,2.3,253.8,,,,,166
,Azurill,,Normal,Fairy,Thick Fat,Huge Power,Sap Sipper,190,50,20,40,20,40,20,,,150,10,70,Polka Dot,0.25,Fast,0.2,2.0,,,,,38
,Nosepass,,Rock,,Sturdy,Magnet Pull,Sand Force,375,30,45,135,45,90,30,,,255,20,70,Compass,0.5,Medium,1.0,97.0,,,,,75
,Skitty,,Normal,,Cute Charm,Normalize,Wonder Skin,260,50,45,45,35,35,50,,,255,15,70,Kitten,0.25,Fast,0.6,11.0,,,,,52
,Delcatty,,Normal,,Cute Charm,Normalize,Wonder Skin,380,70,65,65,55,55,70,,,60,15,70,Prim,0.25,Fast,1.1,32.6,,,,,133
,Sableye,,Dark,Ghost,Keen Eye,Stall,Prankster,380,50,75,75,65,65,50,,,45,25,35,Darkness,0.5,Parabolic,0.5,11.0,,,,,133
,Mawile,,Steel,Fairy,Hyper Cutter,Intimidate,Sheer Force,380,50,85,85,55,55,50,,,45,20,70,Deceiver,0.5,Fast,0.6,11.5,,,,,133
,Aron,,Steel,Rock,Sturdy,Rock Head,Heavy Metal,330,50,70,100,40,40,30,,,180,35,35,Iron Armor,0.5,Slow,0.4,60.0,,,,,66
,Lairon,,Steel,Rock,Sturdy,Rock Head,Heavy Metal,430,60,90,140,50,50,40,,,90,35,35,Iron Armor,0.5,Slow,0.9,120.0,,,,,151
,Aggron,,Steel,Rock,Sturdy,Rock Head,Heavy Metal,530,70,110,180,60,60,50,,,45,35,35,Iron Armor,0.5,Slow,2.1,360.0,,,,,239
,Meditite,,Fighting,Psychic,Pure Power,Pure Power,Telepathy,280,30,40,55,40,55,60,,,180,20,70,Meditate,0.5,Medium,0.6,11.2,,,,,56
,Medicham,,Fighting,Psychic,Pure Power,Pure Power,Telepathy,410,60,60,75,60,75,80,,,90,20,70,Meditate,0.5,Medium,1.3,31.5,,,,,144
,Electrike,,Electric,,Static,Lightning Rod,Minus,295,40,45,40,65,40,65,,,120,20,70,Lightning,0.5,Slow,0.6,15.2,,,,,59
,Manectric,,Electric,,Static,Lightning Rod,Minus,475,70,75,60,105,60,105,,,45,20,70,Discharge,0.5,Slow,1.5,40.2,,,,,166
,Plusle,,Electric,,Plus,Plus,Lightning Rod,405,60,50,40,85,75,95,,,200,20,70,Cheering,0.5,Medium,0.4,4.2,,,,,142
,Minun,,Electric,,Minus,Minus,Volt Absorb,405,60,40,50,75,85,95,,,200,20,70,Cheering,0.5,Medium,0.4,4.2,,,,,142
,Volbeat,,Bug,,Illuminate,Swarm,Prankster,400,65,73,55,47,75,85,,,150,15,70,Firefly,1,Erratic,0.7,17.7,,,,,140
,Illumise,,Bug,,Oblivious,Tinted Lens,Prankster,400,65,47,55,73,75,85,,,150,15,70,Firefly,0,Fluctuating,0.6,17.7,,,,,140
,Roselia,,Grass,Poison,Natural Cure,Poison Point,Leaf Guard,400,50,60,45,100,80,65,,,150,20,70,Thorn,0.5,Parabolic,0.3,2.0,,,,,140
,Gulpin,,Poison,,Liquid Ooze,Sticky Hold,Gluttony,302,70,43,53,43,53,40,,,225,20,70,Stomach,0.5,Fluctuating,0.4,10.3,,,,,60
,Swalot,,Poison,,Liquid Ooze,Sticky Hold,Gluttony,467,100,73,83,73,83,55,,,75,20,70,Poison Bag,0.5,Fluctuating,1.7,80.0,,,,,163
,Carvanha,,Water,Dark,Rough Skin,Rough Skin,Speed Boost,305,45,90,20,65,20,65,,,225,20,35,Savage,0.5,Slow,0.8,20.8,,,,,61
,Sharpedo,,Water,Dark,Rough Skin,Rough Skin,Speed Boost,460,70,120,40,95,40,95,,,60,20,35,Brutal,0.5,Slow,1.8,88.8,,,,,161
,Wailmer,,Water,,Water Veil,Oblivious,Pressure,400,130,70,35,70,35,60,,,125,40,70,Ball Whale,0.5,Fluctuating,2.0,130.0,,,,,80
,Wailord,,Water,,Water Veil,Oblivious,Pressure,500,170,90,45,90,45,60,,,60,40,70,Float Whale,0.5,Fluctuating,14.5,398.0,,,,,175
,Numel,,Fire,Ground,Oblivious,Simple,Own Tempo,305,60,60,40,65,45,35,,,255,20,70,Numb,0.5,Medium,0.7,24.0,,,,,61
,Camerupt,,Fire,Ground,Magma Armor,Solid Rock,Anger Point,460,70,100,70,105,75,40,,,150,20,70,Eruption,0.5,Medium,1.9,220.0,,,,,161
,Torkoal,,Fire,,White Smoke,White Smoke,Shell Armor,470,70,85,140,85,70,20,,,90,20,70,Coal,0.5,Medium,0.5,80.4,,,,,165
,Spoink,,Psychic,,Thick Fat,Own Tempo,Gluttony,330,60,25,35,70,80,60,,,255,20,70,Bounce,0.5,Fast,0.7,30.6,,,,,66
,Grumpig,,Psychic,,Thick Fat,Own Tempo,Gluttony,470,80,45,65,90,110,80,,,60,20,70,Manipulate,0.5,Fast,0.9,71.5,,,,,165
,Spinda,,Normal,,Own Tempo,Tangled Feet,Contrary,360,60,60,60,60,60,60,,,255,15,70,Spot Panda,0.5,Fast,1.1,5.0,,,,,126
,Trapinch,,Ground,,Hyper Cutter,Arena Trap,Sheer Force,290,45,100,45,45,45,10,,,255,20,70,Ant Pit,0.5,Parabolic,0.7,15.0,,,,,58
,Vibrava,,Ground,Dragon,Levitate,Levitate,Levitate,340,50,70,50,50,50,70,,,120,20,70,Vibration,0.5,Parabolic,1.1,15.3,,,,,119
,Flygon,,Ground,Dragon,Levitate,Levitate,Levitate,520,80,100,80,80,80,100,,,45,20,70,Mystic,0.5,Parabolic,2.0,82.0,,,,,234
,Cacnea,,Grass,,Sand Veil,Sand Veil,Water Absorb,335,50,85,40,85,40,35,,,190,20,35,Cactus,0.5,Parabolic,0.4,51.3,,,,,67
,Cacturne,,Grass,Dark,Sand Veil,Sand Veil,Water Absorb,475,70,115,60,115,60,55,,,60,20,35,Scarecrow,0.5,Parabolic,1.3,77.4,,,,,166
,Swablu,,Normal,Flying,Natural Cure,Natural Cure,Cloud Nine,310,45,40,60,40,75,50,,,255,20,70,Cotton Bird,0.5,Erratic,0.4,1.2,,,,,62
,Altaria,,Dragon,Flying,Natural Cure,Natural Cure,Cloud Nine,490,75,70,90,70,105,80,,,45,20,70,Humming,0.5,Erratic,1.1,20.6,,,,,172
